job_id,timestamp,device_id,customer,user_department,pages,color,duplex,job_status,sensitive_doc_detected,duplicate_marker
ff2e264e-db10-4390-a541-83156ffaa7f7,2025-12-27T15:24:24,XRX-100000,Northwind Health,Finance,70,False,True,failed,False,
7f128067-b5b6-45f7-8ee8-bed7e996a3b7,2024-12-21T20:07:01,XRX-100001,Summit Manufacturing,Support,22,True,False,held,True,
ea5b4a9c-3278-4b22-b56a-4dd7f77147d4,2025-05-17T17:50:27,XRX-100002,Summit Manufacturing,Finance,12,False,True,failed,False,
1471fa60-1030-4d1a-83a5-889e3776371e,2024-03-05T17:24:59,XRX-100003,Aster Financial,Engineering,71,False,False,held,False,
f0a8ff91-bb31-47a2-969b-d13b39aa660b,2025-03-15T01:58:14,XRX-100004,CivicGrid Utilities,Operations,11,False,False,completed,False,
88b414fc-9867-4480-9490-08a86f668b12,2024-08-12T17:48:39,XRX-100005,Cobalt Media,Operations,21,True,True,failed,False,
73bf89ce-5c21-4f93-91a9-d1d598543827,2025-06-03T22:22:11,XRX-100006,Atlas Education,Support,14,False,True,cancelled,False,
2ce2c8d8-5c89-4a2b-8a58-f6531f2b434c,2024-02-04T05:26:43,XRX-100007,BluePeak Retail,Legal,11,False,False,failed,False,
809498b3-e70e-47f3-9ccb-9428ea8ddb16,2026-04-05T16:59:23,XRX-100008,CivicGrid Utilities,HR,24,False,False,failed,False,
6173d3be-f578-492a-b25c-8abbf6622f8c,2025-04-24T09:47:45,XRX-100009,Atlas Education,Engineering,10,False,True,held,False,
ec313c57-2134-49fe-aa92-2b9484ffa7a2,2024-03-28T07:14:56,XRX-100010,Northwind Health,Legal,19,True,True,failed,False,
8b41c361-fba7-42bc-ad2e-39459682a47a,2024-01-22T21:47:54,XRX-100011,Arbor Pharma,Operations,55,True,True,completed,False,
53bcfa8a-326b-486d-8be9-32ea0f4547bc,2025-01-22T06:24:14,XRX-100012,Cobalt Media,Legal,3,True,False,failed,False,
ca36767b-6683-483f-afcf-a8eef1031e00,2024-06-13T01:34:47,XRX-100013,Meridian Insurance,Engineering,60,False,False,held,False,
52d89f99-051c-4d41-a4ff-160c932a3fcb,2025-08-13T12:56:21,XRX-100014,Helio Energy,Procurement,21,False,True,completed,False,
2f696dfb-6841-4b3b-b597-8142bd447eff,2026-03-14T18:54:43,XRX-100015,Arbor Pharma,Legal,26,True,True,held,False,
e37c9df7-a6d0-4f25-aae5-1ab1b47ba255,2024-03-28T20:50:35,XRX-100016,Cobalt Media,HR,44,True,True,completed,True,
ef57d367-2ef4-435b-97f9-8537d5e6c6db,2025-02-08T16:20:58,XRX-100017,Cobalt Media,Operations,14,True,True,cancelled,True,
e2b36b86-76cd-46dc-94c4-59351c9ba503,2026-03-30T05:17:50,XRX-100018,Arbor Pharma,Engineering,12,True,True,cancelled,False,
1d65dca4-315b-47dc-8f6a-f0836430acf5,2025-05-05T03:55:32,XRX-100019,Summit Manufacturing,HR,59,False,True,held,False,
6b1351ef-663a-45a6-a275-42ce9b953704,2024-08-16T03:38:43,XRX-100020,CivicGrid Utilities,Operations,32,True,False,held,False,
4065474c-c14a-4df9-be62-00e459ebeccf,2024-12-19T06:25:45,XRX-100021,Pioneer Logistics,Engineering,8,False,False,cancelled,False,
7ecfcb0a-c481-4124-b8ca-92b8bcb94572,2025-04-26T16:26:21,XRX-100022,Vertex Legal,Procurement,3,False,False,completed,True,
dcce38d9-f0a6-4c92-a541-a2fe55d004aa,2025-01-18T13:04:20,XRX-100023,Pioneer Logistics,Legal,6,True,True,cancelled,False,
78836550-5b8b-4b3d-95d6-89b7ba28e58b,2024-06-29T13:13:45,XRX-100024,Atlas Education,Legal,13,True,False,completed,False,
afada288-1e82-40ec-b008-0d0b3d2af9d4,2024-10-10T18:02:12,XRX-100025,Atlas Education,Operations,35,False,False,failed,False,
66b629c7-e147-4979-8e01-5ceb7facc398,2024-07-16T04:42:40,XRX-100026,Helio Energy,Procurement,2,True,True,failed,True,
018102e6-06fd-4480-8847-671b059c25cd,2026-04-12T18:32:11,XRX-100027,Pioneer Logistics,Engineering,4,False,True,cancelled,False,
fb15a189-2795-4857-8ab9-5d0eb88e6700,2026-05-26T21:11:17,XRX-100028,Summit Manufacturing,Support,35,True,True,failed,False,
db71b3c9-141a-4bc0-a25c-1642649570f5,2026-03-08T17:46:20,XRX-100029,Northwind Health,Finance,49,False,True,failed,False,
6ea0533c-8ba0-4889-91ee-6ef3de2ea5f9,2025-09-28T07:41:26,XRX-100030,Cobalt Media,HR,12,False,True,completed,False,
af363cf7-b6d4-493b-9f5c-8f9082d9b6f9,2024-03-13T00:10:43,XRX-100031,Cobalt Media,HR,9,True,False,cancelled,False,
