workflow_id,timestamp,employee_id,department,process,duration_minutes,automation_candidate,rework_count,policy_exception,duplicate_marker
fa07aeb0-1522-44dc-b200-93c380aeb4dd,2024-08-07T00:59:41,EMP-3735,Legal,ticket_triage,135.58,False,1,False,
ed25c0f8-2d36-47c8-a4e0-145c7b3db533,2025-06-05T13:21:48,EMP-1798,HR,procurement,4.42,False,1,False,
23dc5ae6-b18b-458b-936f-c4e11c4ec3ba,2024-06-18T04:15:33,EMP-1405,Legal,device_onboarding,172.29,False,1,False,
634c44be-f96d-4ae2-b6e5-bc7b01603e58,2026-01-12T02:34:12,EMP-6323,Engineering,invoice,62.52,False,0,False,
80024617-6a86-4ba2-b622-f61f82f1d015,2025-12-09T11:21:04,EMP-7056,Support,invoice,1,False,2,False,
acc84ee3-0888-4227-b59e-e47255e21e75,2024-10-14T00:59:20,EMP-5474,Legal,contract_review,109.3,True,0,False,
ec72d992-7203-4403-b33d-77bb234a4583,2025-05-06T17:37:26,EMP-5320,Procurement,invoice,120.66,False,3,False,
248d3524-501c-4476-8353-2e3398e9fc34,2024-06-17T23:56:47,EMP-5234,Operations,contract_review,29.43,True,2,False,
e530821c-9c60-4d69-930a-cce2a0b8765b,2025-10-14T10:28:53,EMP-4780,Legal,device_onboarding,44.87,False,5,False,
0896a72f-7ede-48d9-a114-3c4307f1d070,2025-04-18T14:13:36,EMP-4826,Legal,procurement,4.79,False,3,False,
86b61d2d-f0d9-4321-bce8-e9d5212fe3da,2025-05-03T21:45:57,EMP-3023,Legal,contract_review,83.57,False,0,False,
7688d2e8-c2dd-49eb-b8d9-db33cbdca949,2025-01-31T02:30:43,EMP-9079,HR,invoice,163.24,False,4,False,
20c92ab5-c64d-429c-95c8-f1e0f2c9139b,2024-12-12T04:18:58,EMP-8337,Operations,contract_review,77.96,False,0,False,
6a198976-3461-4f49-8290-87d6f43c61bd,2026-05-31T23:38:53,EMP-7110,Engineering,contract_review,49.27,False,4,False,
a80fd32a-7774-442a-ba0d-9166448a19be,2025-01-03T20:29:06,EMP-4329,HR,ticket_triage,96.84,True,2,False,
60e86236-810f-4da4-8fce-64d4232bcdca,2026-01-12T04:35:18,EMP-2252,Operations,device_onboarding,104.99,True,5,False,
b3acefff-9110-46da-9fb4-949eb85c0ad9,2025-11-28T05:41:59,EMP-1211,Operations,contract_review,175.79,True,0,False,
