usage_id,timestamp,device_id,customer,cartridge_type,pages_printed,toner_consumed_ml,remaining_pct,replacement_required,duplicate_marker
11978f36-e22a-4443-ad29-fa9dc3caffde,2024-04-03T08:07:09,XRX-100000,Meridian Insurance,cyan,1323,26.89,4,False,
5e7bb115-383b-48f4-b6b3-f7ad6195c80e,2025-06-12T08:12:15,XRX-100001,Cobalt Media,magenta,1818,31.11,0,False,
d9ce1891-5f45-483f-9ade-296ef0a31cbc,2026-01-10T09:19:38,XRX-100002,Summit Manufacturing,black,2408,,40,False,
27ae8c50-5738-4312-920c-d6b1573ebbd1,2024-06-25T09:23:15,XRX-100003,Meridian Insurance,cyan,92,54.66,37,False,
27e25d80-9c66-4585-bf27-3df3d23f5c42,2024-12-11T22:15:10,XRX-100004,Pioneer Logistics,cyan,1140,28.55,52,False,
ddaf16bf-92eb-4ff8-8e56-b167e88877c8,2026-04-17T09:05:15,XRX-100005,Meridian Insurance,cyan,1336,31.14,78,False,
758bbdb2-95b4-4cd0-b7a0-c501bc56cfe2,2025-08-18T12:15:09,XRX-100006,Meridian Insurance,cyan,1358,57.77,70,False,
a48253a9-0215-4420-ac34-8a49928a72d3,2025-08-07T19:01:52,XRX-100007,Summit Manufacturing,black,908,49.09,23,False,
bdaeab69-9789-47e8-95f2-b3c55398c5c7,2024-11-12T09:20:29,XRX-100008,Summit Manufacturing,black,1764,54.34,100,False,
f8ce2893-c2a2-4bb3-970a-33804ad20f3a,2024-03-26T15:18:48,XRX-100009,Cobalt Media,yellow,1470,64.89,55,False,
392919e5-9bd4-4529-af1f-b36cc4cbba97,2024-10-30T16:26:50,XRX-100010,Northwind Health,magenta,2284,47.04,48,False,
541b4463-0de8-4e9b-9233-1a4f91ff7265,2024-12-03T23:16:13,XRX-100011,Summit Manufacturing,black,1717,26.96,40,False,
b30c53ca-af15-4bd6-b5ff-851fcd75b7fb,2025-11-17T04:29:50,XRX-100012,CivicGrid Utilities,black,1028,16.99,50,False,
9fb84f37-fa1a-4813-8474-96f46a68df5a,2025-11-13T13:42:01,XRX-100013,Vertex Legal,magenta,2197,64.33,55,False,
a3548e2d-fd55-4ada-96e9-2a676ad0229d,2024-04-27T16:58:58,XRX-100014,Summit Manufacturing,cyan,2059,54.84,67,False,
bd8e9c12-794f-44d1-a761-90b387dae31b,2024-01-26T02:11:50,XRX-100015,Summit Manufacturing,black,475,40.2,100,False,
c3e8b345-7ce7-4fb7-bf85-9e3fc300bc39,2024-01-16T12:18:11,XRX-100016,Arbor Pharma,black,796,63.71,79,False,
663bb2b1-2819-4772-a771-99cb13ac958e,2024-10-20T16:30:43,XRX-100017,Arbor Pharma,cyan,880,44.09,17,False,
148ec361-80ce-4f02-aeb7-e76210b54046,2024-07-02T11:40:32,XRX-100018,Vertex Legal,black,455,37.28,53,False,
d02619da-3e67-437d-b2d9-29f2c64ee85e,2024-04-06T20:57:08,XRX-100019,Summit Manufacturing,black,2033,39.38,17,False,
e045452d-dbfc-4a19-8f53-3a1484873942,2024-04-15T13:28:55,XRX-100020,Cobalt Media,cyan,1223,56.76,42,False,
d13885c0-fca4-4f7a-9d85-0c2f5f89d25b,2024-04-10T07:40:39,XRX-100021,Vertex Legal,black,1289,29.84,16,False,
19e93473-bfee-4790-bfe6-8cdc07f8851c,2025-10-02T22:55:58,XRX-100022,Atlas Education,cyan,1700,66.33,0,False,
6070360a-0536-4120-a305-d5b46212ff54,2024-08-19T16:08:13,XRX-100023,Atlas Education,magenta,1042,56.89,26,False,
12a67dfb-ae82-463b-aa14-57ec5a085ef8,2026-01-25T07:25:33,XRX-100024,Arbor Pharma,black,1842,37.13,38,False,
78184bf3-de83-4833-93fb-63c52144e004,2024-01-26T04:50:33,XRX-100025,Arbor Pharma,cyan,1132,64.24,92,False,
86807b9e-9ba9-4bf9-8df0-a13db7c22905,2024-11-05T19:42:49,XRX-100026,Arbor Pharma,yellow,408,26.07,49,False,
41342937-2e53-4a9a-9ea9-30986ddf10cb,2024-02-15T08:43:10,XRX-100027,CivicGrid Utilities,yellow,2428,35.31,51,False,
cfbba597-e784-42e1-a9f6-9a44fbd77b33,2024-09-23T23:12:15,XRX-100028,Meridian Insurance,yellow,1135,51.57,0,False,
0cbffae1-9b12-4a7c-9af5-a151a2a449fc,2026-04-17T11:17:05,XRX-100029,Aster Financial,magenta,330,39.85,100,False,
f7ec426a-4f29-4994-ab45-8010856cb693,2024-07-03T00:33:27,XRX-100030,Aster Financial,black,2111,24.8,100,False,
97a8b01a-cc5c-4f9e-b2c0-0ca10545b209,2024-01-04T08:48:19,XRX-100031,Aster Financial,black,894,57.22,18,True,
899def3d-13c5-467e-b8e4-ef1eeaf1702f,2026-05-16T07:06:35,XRX-100032,Arbor Pharma,yellow,1650,48.45,17,False,
40b6e95c-83ed-4f02-93e2-abda834bfb9e,2024-07-20T19:21:12,XRX-100033,Aster Financial,magenta,1610,7.65,16,False,
2368e666-8b85-432e-aefe-1bd3343f7d51,2025-06-01T19:55:42,XRX-100034,BluePeak Retail,black,880,50.88,26,False,
1b4ed402-49d5-4a85-8fc0-8f3303eba287,2025-12-20T19:05:37,XRX-100035,BluePeak Retail,cyan,1159,27.01,16,False,
a1892bc7-503c-419a-bbb2-f2c4ee822a5a,2025-05-05T18:01:29,XRX-100036,Helio Energy,yellow,1417,22.14,24,False,
85a7c026-c339-4d66-93d2-5b41bb5ff4d8,2025-08-04T12:04:37,XRX-100037,Meridian Insurance,cyan,1154,44.17,40,False,
f6e58a6c-fa93-41d1-82a9-ca3bbfe1bd7a,2024-10-13T23:30:27,XRX-100038,Cobalt Media,magenta,617,4.65,68,True,
b762de6b-8d76-448a-98e5-ac5a56a1460f,2026-02-06T03:49:20,XRX-100039,Vertex Legal,yellow,611,40.18,0,False,
53611d58-646b-4a1a-ab32-5c1f090d41b5,2024-08-01T15:33:11,XRX-100040,Pioneer Logistics,black,1055,21.39,64,False,
3503d065-a0ec-4f52-a9c1-2448b518df65,2024-02-29T04:01:30,XRX-100041,Cobalt Media,cyan,1644,35.51,55,False,
