event_id,timestamp,device_id,customer,region,model,temperature_c,humidity_pct,usage_count,paper_jam_rate,toner_level_pct,error_frequency,anomaly_flag,duplicate_marker
36735df1-9e74-4602-9cf0-05e6d3a48a64,2024-12-12T17:53:58,XRX-100000,Vertex Legal,US-East,Xerox C410,44.62,,1977,0.0213,,2,False,
f787eeb9-f600-488d-85b6-65431a7f1611,2024-12-08T10:37:19,XRX-100001,Atlas Education,LATAM,Xerox PrimeLink C9070,46.33,60.61,3268,0.0165,93,6,False,
8cb6de57-932d-49df-8e52-b36abe330f42,2025-02-14T22:03:09,XRX-100002,Aster Financial,APAC-South,Xerox C410,47.99,72.04,2420,0.0127,91,1,False,
d7a3f592-7b9b-4b71-be5e-e190c53900a6,2024-12-20T00:39:48,XRX-100003,BluePeak Retail,US-East,Xerox VersaLink B625,51.23,67.54,2524,0.0078,28,4,False,
81808211-f5d8-48de-88d8-9491946eab57,2026-04-09T18:10:40,XRX-100004,Arbor Pharma,US-West,Xerox VersaLink B625,43.19,38.77,1967,0.0143,35,2,False,
acc80b62-854e-43dd-b09d-01d0e33a2269,2025-05-05T00:56:31,XRX-100005,Meridian Insurance,EU-Central,Xerox AltaLink C8155,50.65,41.05,1813,0.0505,4,4,False,
85a29050-f0bb-4eba-9bb8-4166597a9d07,2025-02-12T03:43:01,XRX-100006,Arbor Pharma,LATAM,Xerox B315,51.99,45.37,2040,0.0347,53,2,False,
0943734c-c0fd-47d5-9544-453f5b1e50e5,2025-10-17T19:15:51,XRX-100007,Helio Energy,US-East,Xerox B315,26.38,74.52,2219,0.0496,98,2,False,
d7b62377-051c-418f-bce2-e88524f926e6,2024-06-22T06:57:59,XRX-100008,BluePeak Retail,APAC-South,Xerox VersaLink B625,44.55,73.64,1448,0.0166,86,5,False,
11825380-84ea-4ed7-b934-97715d8a528e,2026-02-27T15:02:38,XRX-100009,Helio Energy,US-West,Xerox VersaLink B625,42.66,72.04,1203,0.0239,27,0,False,
3636d80e-33c7-47fa-b661-f66edb4b1c86,2025-01-06T23:25:45,XRX-100010,Aster Financial,US-West,Xerox C410,63.63,29.37,490,0.0395,73,3,False,
8df704c8-6c76-4b48-b3e4-185cb2c808b6,2025-02-15T18:01:38,XRX-100011,Pioneer Logistics,LATAM,Xerox B315,63.94,60.18,2796,0.0109,20,3,False,
5d5c3e89-eea6-47b4-a871-3cda9703d4a2,2024-04-09T11:03:30,XRX-100012,CivicGrid Utilities,US-East,Xerox C410,40.83,,2852,0.0167,44,3,False,
25cb04b1-7d40-4299-bb4e-663f9c2ac126,2025-03-08T14:23:05,XRX-100013,Cobalt Media,APAC-South,Xerox VersaLink B625,33.56,54.39,2249,0.0125,25,2,False,
fd246fcc-faa3-4b2c-a84b-8e0e028d51c5,2024-03-25T03:38:53,XRX-100014,Cobalt Media,US-East,Xerox AltaLink C8155,39.71,42.3,1669,0.0181,72,0,False,
5c5936d5-9000-468e-b384-3bee50c5f00b,2024-04-27T02:33:08,XRX-100015,Atlas Education,LATAM,Xerox AltaLink C8155,74.92,74.42,2423,0.0346,63,1,False,
bfe5d9fc-7b40-4ce2-8e10-0d881bbae4dd,2025-08-11T17:08:31,XRX-100016,Aster Financial,APAC-South,Xerox PrimeLink C9070,53.89,65.04,2294,0.0105,11,0,False,
e3f9611d-fa38-40fd-a4e0-94b0de903723,2024-12-04T04:28:39,XRX-100017,Aster Financial,LATAM,Xerox C410,52.44,49.32,1265,0.0225,44,1,False,
e6444e57-ee13-41fe-8c0f-658c8d48e50f,2024-12-31T09:02:12,XRX-100018,Meridian Insurance,US-East,Xerox C410,43.58,55.32,2290,0.0018,72,3,False,
26648131-d4d8-4e0e-83a0-1988af5ebfa7,2025-01-05T18:51:26,XRX-100019,BluePeak Retail,APAC-South,Xerox VersaLink B625,42.81,63.35,1870,0.0076,0,3,False,
e8903678-1d79-48dd-947b-a1129801513c,2025-06-26T03:59:32,XRX-100020,Northwind Health,US-West,Xerox PrimeLink C9070,48.46,47.35,2627,0.005,100,0,False,
650fc77e-6362-44d1-830f-7971e97f331d,2024-06-09T21:59:04,XRX-100021,Vertex Legal,EU-Central,Xerox AltaLink C8155,56.14,39.37,1871,0.0033,30,4,False,
4c45a2af-f9b5-4d8b-8b7d-498791b6c4ce,2024-03-19T21:55:12,XRX-100022,Northwind Health,APAC-South,Xerox PrimeLink C9070,45.79,42.01,1453,0.0262,51,1,False,
aa5e8f9e-d714-4382-9f10-516e9b424de3,2024-08-19T13:08:47,XRX-100023,Pioneer Logistics,US-East,Xerox PrimeLink C9070,42.07,40.72,1051,0.0141,69,0,False,
4016105b-a890-4151-bc86-62cad4076790,2026-05-19T17:58:13,XRX-100024,Meridian Insurance,LATAM,Xerox VersaLink B625,51.87,37.07,2259,0.0207,37,3,False,
069f6d0c-5c6f-4c68-9dcb-d7017987d231,2025-10-01T13:46:45,XRX-100025,Cobalt Media,US-West,Xerox PrimeLink C9070,52.72,26.97,3844,0.0363,73,6,False,
7e065206-3f8a-4877-b3fd-5813bc8e9a40,2024-10-27T00:24:01,XRX-100026,Meridian Insurance,EU-Central,Xerox PrimeLink C9070,31.36,74.31,2838,0.0091,32,0,False,
77203af5-8abe-4f44-8a87-78e472f3ceb2,2025-02-09T18:48:30,XRX-100027,Vertex Legal,LATAM,Xerox PrimeLink C9070,56.47,65.11,1646,0.0225,67,1,False,
c758ea9d-99f7-4453-aaf7-57ce5962c104,2026-03-18T16:02:07,XRX-100028,Pioneer Logistics,US-West,Xerox PrimeLink C9070,48.24,73.39,2194,0.0032,25,3,False,
f1d4825a-caf4-4dac-b1a8-a8b0742bd995,2025-05-21T16:58:48,XRX-100029,Meridian Insurance,EU-Central,Xerox C410,51.82,59.54,1505,0.0285,36,0,False,
a3c1eecd-b47e-41d9-8909-e50b8dd20a40,2025-05-15T14:19:19,XRX-100030,Atlas Education,APAC-South,Xerox B315,46.02,51.07,2799,0.0401,42,1,False,
26c7b4c1-47d3-450b-8a15-90c3ac671c3c,2024-05-25T01:43:37,XRX-100031,Summit Manufacturing,EU-Central,Xerox VersaLink B625,47.57,75.18,3326,0.0106,57,0,False,
60399618-e9eb-4218-b792-f0200ea652b7,2025-09-12T20:08:19,XRX-100032,Summit Manufacturing,US-West,Xerox AltaLink C8155,40.17,68.88,896,0.0197,34,1,False,
c8a6a31e-66f2-49bd-8682-9e227b3c8e9b,2024-07-07T12:34:35,XRX-100033,Atlas Education,US-West,Xerox B315,34.23,73.45,1204,0,20,0,False,
db634c3b-3a98-4d8e-b635-5071d7c0a9a7,2026-01-07T09:08:44,XRX-100034,Atlas Education,EU-Central,Xerox VersaLink B625,37.18,39.14,2619,0.0077,56,1,False,
7bf496d9-969b-4f1c-81b0-4a544cb211b8,2026-04-19T02:20:04,XRX-100035,Northwind Health,US-West,Xerox VersaLink B625,47.45,28.28,1494,0.0394,26,1,False,
